date,variety_id,variety_name,month,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,tech1,tech2,tech3,tech4,tech5,tech6,tech7,tech8,tech9,tech10,tech11,tech12,tech13,tech14,tech15,tech16,tech17,tech18,tech19,tech20,tech21,tech22,tech23,tech24
2025-12-15,0,NVDA,12,0.2240,0.5980,0.4200,0.5000,0.8500,0.7500,0.3200,0.6500,0.5800,0.6200,0.4200,0.3608,0.6500,0.5500,0.2033,0.1598,0.9280,0.5000,0.1159,0.8841,0.0711,0.4143,0.6194,0.5290,0.2693,0.3768,0.0722,0.1533,0.2472,0.1095,0.3020,0.2552,0.7448,0.1583,0.8417,0.3399,0.6881,0.5000
2025-12-15,1,AAPL,12,0.2380,0.5720,0.4200,0.5200,0.7800,0.6800,0.4200,0.5500,0.5800,0.5800,0.4410,0.5814,0.6800,0.5000,0.3986,0.6633,0.9813,1.0000,0.3963,0.6037,0.0794,0.4653,0.3287,0.4403,0.4324,0.3113,0.5544,0.3876,0.1656,0.2126,0.1724,0.3773,0.6227,0.6765,0.3235,0.5136,0.3578,0.5000
2025-12-15,2,AMZN,12,0.2380,0.5720,0.4200,0.5200,0.7800,0.6500,0.4800,0.5800,0.5800,0.5800,0.4410,0.3698,0.5800,0.5000,0.2335,0.2943,0.6634,0.5000,0.2110,0.7890,0.0823,0.4409,0.4078,0.4358,0.4053,0.2293,0.1404,0.4134,0.2006,0.1261,0.1568,0.3094,0.6906,0.2420,0.7580,0.2889,0.5923,0.5000
2025-12-15,3,COIN,12,0.2520,0.4940,0.4200,0.5200,0.6500,0.5500,0.4200,0.5500,0.5800,0.5800,0.5040,0.2594,0.4800,0.5500,0.0792,0.0041,0.0884,0.5000,0.2083,0.7917,0.1682,0.4700,1.0000,0.2652,0.1500,0.2878,0.0157,0.4154,0.2976,0.0899,0.2621,0.3593,0.6407,0.1126,0.8874,0.3770,0.5190,0.5000
2025-12-15,4,CRCL,12,0.2800,0.5200,0.4200,0.4800,0.4200,0.3500,0.5000,0.4000,0.5800,0.3800,0.4200,0.2966,0.4000,0.4200,0.1013,0.0002,0.0032,0.5000,0.3768,0.6232,0.3543,0.5271,1.0000,0.1772,0.1166,0.4606,0.0602,0.2921,0.1918,0.1010,0.3286,0.3995,0.6005,0.1115,0.8885,0.5238,0.4788,0.5000
2025-12-15,5,GME,12,0.2800,0.5200,0.4200,0.4800,0.2500,0.2800,0.3500,0.2500,0.5800,0.4000,0.4200,0.4448,0.3000,0.4200,0.6674,0.4063,0.1323,0.0000,0.5669,0.4331,0.2081,0.6258,0.8278,0.6566,0.2537,0.3169,0.9185,0.4964,0.2679,0.4160,0.2806,0.5307,0.4693,0.3661,0.6339,0.6225,0.4695,0.5000
2025-12-15,6,GOOGL,12,0.2380,0.5720,0.4200,0.5200,0.7500,0.6800,0.4500,0.5800,0.5800,0.5500,0.4410,0.6373,0.5500,0.5000,0.4273,0.9371,0.9999,1.0000,0.4634,0.5366,0.1602,0.3986,0.5158,0.4862,0.4132,0.3744,0.9829,0.1556,0.2482,0.0363,0.4485,0.5969,0.4031,0.7805,0.2195,0.5074,0.5620,0.5000
2025-12-15,7,HOOD,12,0.2520,0.4940,0.4200,0.5200,0.6000,0.5200,0.4500,0.5200,0.5800,0.5500,0.5040,0.3490,0.4500,0.5200,0.0363,0.0227,0.9921,0.5000,0.2884,0.7116,0.3099,0.5023,1.0000,0.3618,0.0430,0.1654,0.1122,0.2004,0.3575,0.1524,0.2778,0.3495,0.6505,0.2543,0.7457,0.5252,0.6112,0.5000
2025-12-15,8,LMT,12,0.2660,0.6240,0.4410,0.5000,0.6800,0.6000,0.5000,0.5200,0.5800,0.5200,0.4200,0.7618,0.5200,0.5500,0.9354,0.6614,0.7548,0.5000,0.9907,0.0093,0.1090,0.7735,0.3695,0.5347,0.6939,0.9292,0.8426,0.1120,0.2393,0.2902,0.2444,0.9926,0.0074,0.6301,0.3699,0.5491,0.7587,0.5000
2025-12-15,9,MARA,12,0.2520,0.4940,0.4200,0.5200,0.4200,0.3800,0.4800,0.5200,0.5800,0.5500,0.5040,0.2254,0.4000,0.5000,0.0274,0.0001,0.0022,0.5000,0.1790,0.8210,0.2225,0.4472,1.0000,0.2425,0.0962,0.1444,0.0226,0.2734,0.3012,0.1636,0.2885,0.3133,0.6867,0.0721,0.9279,0.6427,0.6542,0.5000
