date,variety_id,variety_name,month,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,tech1,tech2,tech3,tech4,tech5,tech6,tech7,tech8,tech9,tech10,tech11,tech12,tech13,tech14,tech15,tech16,tech17,tech18,tech19,tech20,tech21,tech22,tech23,tech24,y,raw_change
2025-06-24,0,NVDA,6,0.2240,0.5980,0.4200,0.5000,0.8500,0.7500,0.3200,0.6500,0.5800,0.6200,0.4200,0.7638,0.6500,0.5500,0.9002,0.9931,0.9540,0.5000,0.9371,0.0629,0.1007,0.6439,0.4446,0.6020,0.6091,0.7162,0.9882,0.3578,0.2709,0.1176,0.2410,0.9960,0.0040,0.9989,0.0011,0.3766,0.2650,0.5000,0.704081,0.043340
2025-06-24,1,AAPL,6,0.2380,0.5720,0.4200,0.5200,0.7800,0.6800,0.4200,0.5500,0.5800,0.5800,0.4410,0.3884,0.6800,0.5000,0.5007,0.4193,0.1139,0.0000,0.5014,0.4986,0.0440,0.4479,0.4015,0.4762,0.5472,0.4644,0.7113,0.2343,0.3226,0.2702,0.2359,0.4682,0.5318,0.5089,0.4911,0.2533,0.2691,0.5000,0.531411,0.006290
2025-06-24,2,AMZN,6,0.2380,0.5720,0.4200,0.5200,0.7800,0.6500,0.4800,0.5800,0.5800,0.5800,0.4410,0.6186,0.5800,0.5000,0.6316,0.8912,0.6963,0.5000,0.6365,0.3635,0.0789,0.6056,0.4347,0.5818,0.4236,0.3811,0.8861,0.2643,0.4570,0.2724,0.1642,0.6629,0.3371,0.8940,0.1060,0.2630,0.3396,0.5000,0.481679,-0.003666
2025-06-24,3,COIN,6,0.2520,0.4940,0.4200,0.5200,0.6500,0.5500,0.4200,0.5500,0.5800,0.5800,0.5040,0.9445,0.4800,0.5500,1.0000,1.0000,0.9999,1.0000,1.0000,0.0000,0.4051,0.7627,1.0000,0.8740,0.9983,0.9998,1.0000,0.5951,1.0000,0.8072,0.1482,0.9635,0.0365,0.9772,0.0228,0.4253,0.5034,0.5000,0.648377,0.030596
2025-06-24,4,CRCL,6,0.2800,0.5200,0.4200,0.4800,0.4200,0.3500,0.5000,0.4000,0.5800,0.3800,0.4200,0.5000,0.4000,0.4200,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.103535,-0.107927
2025-06-24,5,GME,6,0.2800,0.5200,0.4200,0.4800,0.2500,0.2800,0.3500,0.2500,0.5800,0.4000,0.4200,0.2350,0.3000,0.4200,0.0006,0.0094,0.1208,0.5000,0.2322,0.7678,0.5599,0.2346,1.0000,0.5816,0.4936,0.0030,0.0000,0.2310,0.0000,1.0000,1.0000,0.1226,0.8774,0.1226,0.8774,0.9444,0.4441,0.5000,0.555587,0.011164
2025-06-24,6,GOOGL,6,0.2380,0.5720,0.4200,0.5200,0.7500,0.6800,0.4500,0.5800,0.5800,0.5500,0.4410,0.3888,0.5500,0.5000,0.1811,0.5986,0.3653,0.5000,0.1829,0.8171,0.0952,0.5124,0.4925,0.5382,0.2439,0.2103,0.4228,0.1013,0.4216,0.2917,0.1841,0.2496,0.7504,0.5925,0.4075,0.3181,0.3862,0.5000,0.615125,0.023445
2025-06-24,7,HOOD,6,0.2520,0.4940,0.4200,0.5200,0.6000,0.5200,0.4500,0.5200,0.5800,0.5500,0.5040,0.9057,0.4500,0.5200,0.9983,1.0000,1.0000,1.0000,0.9925,0.0075,0.2588,0.6872,1.0000,0.7660,0.7975,0.9494,1.0000,0.3488,0.3393,0.1536,0.1957,0.9866,0.0134,0.9940,0.0060,0.4467,0.2568,0.5000,0.544994,0.009023
2025-06-24,8,LMT,6,0.2660,0.6240,0.4410,0.5000,0.6800,0.6000,0.5000,0.5200,0.5800,0.5200,0.4200,0.3203,0.5200,0.5500,0.1899,0.3526,0.2060,0.5000,0.0447,0.9553,0.0637,0.4191,0.6061,0.3977,0.4271,0.2549,0.3986,0.1194,0.2146,0.7237,0.4306,0.3740,0.6260,0.4263,0.5737,0.8028,0.4785,0.5000,0.480345,-0.003933
2025-06-24,9,MARA,6,0.2520,0.4940,0.4200,0.5200,0.4200,0.3800,0.4800,0.5200,0.5800,0.5500,0.5040,0.4158,0.4000,0.5000,0.2624,0.5983,0.0925,0.5000,0.3978,0.6022,0.2023,0.4643,1.0000,0.6878,0.3602,0.1057,0.5882,0.1994,0.2657,0.2198,0.2531,0.4290,0.5710,0.5717,0.4283,0.4465,0.3833,0.5000,0.533551,0.006720
2025-06-24,10,MCD,6,0.2800,0.5980,0.4200,0.5200,0.7000,0.6200,0.5200,0.4800,0.5800,0.5000,0.4200,0.2761,0.5500,0.4500,0.1315,0.1554,0.3853,0.5000,0.1719,0.8281,0.1151,0.1959,0.3305,0.5269,0.4194,0.2513,0.0842,0.1812,0.4558,0.4614,0.3212,0.2047,0.7953,0.1715,0.8285,0.3446,0.3215,0.5000,0.399819,-0.020311
2025-06-24,11,META,6,0.2380,0.5720,0.4200,0.5200,0.7200,0.7000,0.4200,0.6000,0.5800,0.5500,0.4410,0.8252,0.5000,0.4800,0.9035,0.9883,0.9708,1.0000,0.8556,0.1444,0.1258,0.6657,0.4285,0.5776,0.5713,0.6622,0.9917,0.3738,0.4158,0.2325,0.1449,0.9878,0.0122,0.9958,0.0042,0.3278,0.3275,0.5000,0.475308,-0.004942
2025-06-24,12,MSFT,6,0.2380,0.5720,0.4200,0.5200,0.8000,0.7200,0.4000,0.6200,0.5800,0.6000,0.4410,0.8692,0.6500,0.5200,0.8809,0.9708,0.9652,1.0000,1.0000,0.0000,0.0778,0.7918,0.2619,0.5338,0.6125,0.7146,0.9571,0.1986,0.4575,0.2922,0.1713,0.9524,0.0476,0.9873,0.0127,0.1774,0.3904,0.5000,0.522022,0.004407
2025-06-24,13,MSTR,6,0.2520,0.4940,0.4200,0.5200,0.5500,0.4200,0.3800,0.5800,0.5800,0.6200,0.5040,0.6093,0.4200,0.5500,0.5163,0.5399,0.9876,1.0000,0.5151,0.4849,0.0859,0.4383,0.7247,0.6056,0.4320,0.2763,0.6707,0.2293,0.4122,0.1935,0.0940,0.5103,0.4897,0.6538,0.3462,0.3258,0.1877,0.5000,0.649765,0.030900
2025-06-24,14,NFLX,6,0.2380,0.5720,0.4200,0.5200,0.7000,0.6500,0.4500,0.5500,0.5800,0.5500,0.4410,0.8593,0.5500,0.4800,0.9032,0.9645,0.9994,1.0000,1.0000,0.0000,0.0660,0.6701,0.3992,0.5809,0.7063,0.7532,0.9409,0.2493,0.3107,0.2596,0.1246,0.9674,0.0326,0.9908,0.0092,0.4532,0.2939,0.5000,0.484916,-0.003018
2025-06-24,15,PLTR,6,0.2380,0.5720,0.4200,0.5200,0.6500,0.5500,0.3500,0.5800,0.5800,0.5500,0.4410,0.8424,0.5000,0.5200,0.9799,0.9959,1.0000,1.0000,0.8948,0.1052,0.1969,0.5992,0.9137,0.5935,0.5640,0.8923,0.9965,0.1654,0.1841,0.1306,0.1892,0.9371,0.0629,0.9726,0.0274,0.3780,0.2971,0.5000,0.488482,-0.002304
2025-06-24,16,PYPL,6,0.3500,0.5720,0.4200,0.5600,0.5200,0.5000,0.5500,0.4500,0.5800,0.4800,0.4200,0.6164,0.5000,0.4800,0.7444,0.8720,0.3086,0.5000,0.7319,0.2681,0.0922,0.5606,0.5325,0.5863,0.5903,0.5025,0.8663,0.1650,0.4252,0.4877,0.2545,0.7782,0.2218,0.8911,0.1089,0.6706,0.2595,0.5000,0.465399,-0.006931
2025-06-24,17,RIOT,6,0.2520,0.4940,0.4200,0.5200,0.4200,0.3800,0.4800,0.5200,0.5800,0.5500,0.5040,0.6786,0.4000,0.5000,0.9495,0.9945,0.6751,0.5000,0.6896,0.3104,0.3095,0.5821,1.0000,0.7849,0.4268,0.4386,0.9976,0.3137,0.2752,0.2564,0.4004,0.7109,0.2891,0.8184,0.1816,0.6340,0.4391,0.5000,0.490021,-0.001996
2025-06-24,18,SNAP,6,0.2380,0.5720,0.4200,0.5200,0.4000,0.3500,0.5500,0.3500,0.5800,0.3500,0.4410,0.4120,0.4000,0.3800,0.5676,0.5061,0.0328,0.0000,0.5655,0.4345,0.0830,0.4902,0.8611,0.6962,0.5302,0.3707,0.5945,0.3761,0.1883,0.3937,0.0626,0.4750,0.5250,0.4749,0.5251,0.2510,0.3696,0.5000,0.332452,-0.034856
2025-06-24,19,SPCX,6,0.2660,0.5460,0.4200,0.5200,0.6500,0.6000,0.5000,0.5500,0.5800,0.5500,0.4200,0.6986,0.5500,0.5000,0.7168,0.8461,0.7185,0.5000,1.0000,0.0000,0.0344,0.6256,0.1963,0.5444,0.5488,0.5889,0.8514,0.2363,0.3203,0.2892,0.2726,0.9629,0.0371,0.9904,0.0096,0.3205,0.2517,0.5000,0.499984,-0.000003
2025-06-24,20,TSLA,6,0.2380,0.5720,0.4200,0.5200,0.6800,0.5200,0.3500,0.5000,0.5800,0.5200,0.4410,0.6460,0.4500,0.5500,0.8212,0.9637,0.8675,0.5000,0.6266,0.3734,0.2409,0.4890,1.0000,0.4069,0.6658,0.9298,0.5291,0.0508,0.2548,0.2088,0.3249,0.7117,0.2883,0.8120,0.1880,0.8014,0.3415,0.5000,0.318874,-0.037948
2025-06-24,21,WPM,6,0.2940,0.5980,0.4200,0.5400,0.5800,0.5200,0.5000,0.5200,0.5800,0.5500,0.4200,0.5842,0.5000,0.5000,0.3626,0.7659,0.9960,1.0000,0.3833,0.6167,0.0967,0.3987,0.5268,0.4295,0.3268,0.4608,0.7021,0.5111,0.1906,0.2259,0.2232,0.3908,0.6092,0.6663,0.3337,0.3124,0.5026,0.5000,0.541117,0.008242
